ID,Spin_20_emotionregulation_scale_inverted,Spin_20_compliance_scale_inverted,Spin_20_attentiveness_scale_inverted,Spin_20_selfreliance_scale_inverted,Spin_20_motivatedness_scale_inverted,Spin_20_flexibility_scale_inverted,DelAlt_20_perseveration_scale_consensus,DelAlt_20_attentiveness_scale_consensus,DelAlt_20_Strategicness_scale_consensus,DelAlt_20_Selfreliance_scale_consensus,DelAlt_20_Motivatedness_scale_consensus,DelAlt_20_performancescore,Spin_20_propaccuracyscore_childissuescodedas0,EEFQ_Regulation_20.70pc,EEFQ_CEF_20.70pc,child_sex
1041,#NULL!,#NULL!,2.88,#NULL!,2.00,-45.00,0.53,3.75,4.00,4.00,1.50,0.18,0.00,5.50,5.45,0.00
1042,4.00,4.00,4.00,4.00,1.67,-6.11,0.68,3.45,4.00,3.83,2.25,0.21,0.00,6.00,5.55,0.00
1044,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.56,3.33,4.00,4.00,3.25,0.33,0.50,5.25,4.52,1.00
1045,4.00,3.33,4.00,4.00,1.33,-11.67,0.70,2.83,4.00,2.50,3.25,0.30,0.19,5.25,5.00,0.00
1046,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.50,#NULL!,1.00,2.50,0.00,0.19,4.00,4.13,1.00
1047,4.00,4.00,4.00,4.00,1.00,5.00,0.57,3.75,4.00,3.83,3.50,0.33,1.00,5.50,5.52,1.00
1048,#NULL!,#NULL!,3.38,#NULL!,2.50,-9.29,0.87,3.25,4.00,4.00,2.75,0.08,0.57,5.00,3.90,1.00
1049,4.00,4.00,3.75,4.00,2.00,-7.50,0.73,3.58,4.00,3.67,2.00,0.21,0.50,5.88,5.18,0.00
1051,4.00,4.00,4.00,4.00,1.67,-6.11,0.47,3.33,4.00,3.67,3.00,#NULL!,0.44,5.00,4.57,1.00
1053,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.32,3.00,4.00,4.00,3.00,0.53,0.20,4.00,4.63,1.00
1056,4.00,3.67,4.00,4.00,1.67,5.00,0.41,3.33,4.00,3.33,2.50,0.47,0.44,5.00,4.04,1.00
1057,4.00,4.00,4.00,4.00,2.33,-4.09,0.81,3.42,4.00,3.50,3.00,0.09,0.30,4.25,4.10,0.00
1058,4.00,3.67,4.00,4.00,1.67,-6.11,0.27,3.17,4.00,3.50,2.25,0.60,0.44,5.38,5.41,1.00
1062,4.00,4.00,3.50,3.33,1.33,-3.33,0.54,3.33,4.00,3.83,2.75,0.31,0.33,4.50,4.50,1.00
1063,#NULL!,#NULL!,2.25,#NULL!,1.00,5.00,1.00,2.33,#NULL!,1.50,2.75,0.00,0.50,2.13,3.27,0.00
1064,3.00,2.33,2.88,3.67,1.00,-5.00,#NULL!,1.00,#NULL!,2.00,1.00,0.00,0.30,6.63,3.52,0.00
1065,4.00,3.33,2.38,3.67,1.33,-5.71,0.47,3.42,4.00,4.00,2.00,0.33,0.36,5.38,5.09,0.00
1068,4.00,3.67,4.00,4.00,1.33,-11.67,0.63,3.00,4.00,3.83,1.75,#NULL!,0.33,5.38,4.80,0.00
1069,4.00,1.67,3.63,4.00,2.00,-1.67,0.75,2.08,3.75,2.83,2.00,0.27,0.19,5.75,4.74,0.00
1071,3.67,3.67,3.25,4.00,1.00,-10.00,0.35,2.92,4.00,3.83,2.25,0.47,0.40,2.63,4.00,0.00
1072,4.00,3.33,2.63,3.00,1.67,-16.43,0.68,3.42,4.00,3.33,3.00,#NULL!,0.00,5.63,4.91,1.00
1073,4.00,4.00,4.00,4.00,1.67,-5.00,0.75,3.42,4.00,4.00,1.50,0.21,0.40,6.38,5.30,1.00
1074,4.00,4.00,4.00,4.00,1.33,-11.67,0.61,3.83,4.00,4.00,3.25,0.29,0.33,5.25,4.78,0.00
1075,2.00,3.00,2.75,4.00,1.33,-13.75,0.92,3.67,4.00,4.00,2.75,0.08,0.19,4.25,2.35,1.00
1076,4.00,4.00,4.00,4.00,1.67,-6.11,0.50,3.67,4.00,3.67,2.25,0.40,0.44,#NULL!,#NULL!,0.00
1077,4.00,3.67,4.00,3.33,1.67,-6.11,0.35,2.00,4.00,3.50,2.00,0.45,0.44,1.38,3.20,0.00
1078,4.00,3.67,4.00,4.00,1.33,-4.38,#NULL!,1.75,#NULL!,2.50,1.00,0.00,0.25,6.13,3.95,0.00
1079,4.00,3.67,3.75,4.00,1.33,-9.29,#NULL!,2.33,#NULL!,1.50,3.00,0.00,0.29,3.63,1.73,0.00
1080,4.00,4.00,4.00,4.00,2.00,-15.00,0.50,3.50,4.00,3.50,3.25,0.33,0.80,3.13,3.27,0.00
1081,2.00,3.00,3.38,3.00,1.00,#NULL!,#NULL!,1.50,#NULL!,1.00,1.50,0.00,0.00,5.63,2.10,0.00
1082,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.63,3.58,4.00,3.17,3.50,0.38,0.00,5.75,2.95,1.00
1084,4.00,4.00,3.38,4.00,1.00,5.00,0.24,3.58,4.00,4.00,2.50,0.73,0.80,#NULL!,#NULL!,0.00
1085,3.00,3.33,4.00,4.00,2.33,5.00,0.80,2.25,4.00,3.83,4.00,0.00,0.50,1.63,2.90,0.00
1087,4.00,4.00,4.00,4.00,2.00,-5.00,0.60,3.75,4.00,4.00,1.50,0.33,0.21,4.88,4.70,1.00
1090,4.00,2.00,2.13,3.33,1.00,-28.33,0.44,2.83,4.00,3.67,2.00,0.47,0.00,#NULL!,#NULL!,0.00
1092,4.00,3.33,4.00,4.00,1.67,-7.50,0.70,3.58,4.00,4.00,2.25,0.15,0.33,7.00,5.43,0.00
1093,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.59,3.25,3.75,3.50,2.75,0.23,0.08,1.75,3.55,0.00
1094,3.00,3.33,2.00,3.33,1.00,-20.00,0.83,1.83,4.00,3.50,2.75,0.00,0.00,6.00,3.36,0.00
1095,2.00,3.00,4.00,4.00,1.00,-7.50,0.88,2.17,3.75,3.33,1.75,0.47,0.22,6.13,4.05,0.00
1098,4.00,2.00,2.50,3.00,1.33,#NULL!,#NULL!,1.42,#NULL!,1.00,2.50,0.00,0.00,#NULL!,#NULL!,0.00
1099,4.00,4.00,3.38,4.00,2.00,-5.00,0.23,3.83,4.00,4.00,2.50,0.67,0.40,3.88,5.47,1.00
1100,4.00,3.67,4.00,4.00,1.33,-6.11,0.43,3.83,4.00,4.00,1.25,0.40,0.40,#NULL!,#NULL!,0.00
1101,4.00,4.00,4.00,4.00,1.33,-7.50,#NULL!,3.10,#NULL!,1.00,4.00,0.00,0.19,3.75,3.70,0.00
1103,3.33,3.00,3.50,4.00,1.33,-8.64,0.75,2.83,4.00,3.67,3.25,0.17,0.18,2.63,2.96,0.00
1106,4.00,4.00,4.00,4.00,1.67,-5.71,0.34,3.50,4.00,4.00,3.50,0.43,0.29,4.88,4.65,1.00
1108,4.00,3.67,4.00,4.00,1.67,-5.00,1.00,1.83,#NULL!,1.00,2.50,0.00,0.40,4.50,4.64,0.00
1111,4.00,3.67,4.00,4.00,4.00,-11.67,0.52,3.58,4.00,4.00,2.00,0.33,0.67,4.75,5.29,1.00
1114,4.00,3.67,4.00,4.00,3.33,-7.50,0.85,3.75,4.00,4.00,4.00,0.40,0.40,6.13,5.76,1.00
1115,4.00,4.00,3.63,4.00,1.33,-7.50,0.36,3.33,4.00,3.00,1.75,0.54,0.19,5.00,4.73,0.00
1116,4.00,3.67,4.00,4.00,2.00,-11.67,0.54,3.50,4.00,4.00,2.00,0.23,0.44,#NULL!,#NULL!,1.00
1117,4.00,4.00,4.00,4.00,1.33,-11.67,0.72,3.75,4.00,3.67,2.25,0.17,0.33,4.63,4.40,0.00
1120,1.50,#NULL!,3.88,4.00,1.67,-9.29,0.47,3.75,4.00,4.00,3.00,0.47,0.57,3.13,4.95,0.00
1126,2.33,3.33,4.00,4.00,1.33,-4.09,0.19,2.50,4.00,3.83,3.00,0.70,0.36,2.50,4.53,0.00
1128,4.00,4.00,4.00,4.00,1.67,-6.11,0.61,3.42,2.50,4.00,1.00,0.15,0.44,5.88,4.85,1.00
1129,4.00,3.33,3.75,3.00,1.67,-6.11,1.00,2.00,4.00,3.00,1.00,0.38,0.33,5.38,4.32,0.00
1132,4.00,2.00,3.25,3.00,1.33,-45.00,#NULL!,1.00,#NULL!,1.00,1.00,0.00,0.00,5.13,4.70,0.00
1133,4.00,3.33,4.00,4.00,1.33,-11.67,0.41,2.33,3.75,3.83,2.25,0.46,0.67,4.13,4.39,0.00
1134,4.00,3.33,3.75,3.67,1.67,-7.50,0.60,3.33,4.00,2.67,2.50,0.00,0.50,3.63,3.82,0.00
1135,4.00,4.00,4.00,4.00,1.67,-1.25,#NULL!,1.75,#NULL!,4.00,1.00,0.00,0.19,5.13,3.91,1.00
1136,4.00,4.00,4.00,4.00,1.67,-13.18,0.75,2.58,#NULL!,1.83,3.75,0.00,0.36,#NULL!,#NULL!,0.00
1138,4.00,2.67,4.00,4.00,1.33,-13.18,0.54,3.67,4.00,4.00,2.50,0.40,0.36,4.50,4.78,0.00
1139,4.00,4.00,4.00,4.00,1.33,-5.00,0.20,3.83,2.50,3.50,2.75,0.67,0.20,6.00,4.62,1.00
1140,4.00,3.33,4.00,4.00,1.33,5.00,0.47,3.75,3.00,3.00,3.50,0.00,0.31,3.50,4.89,0.00
1142,3.67,3.33,3.88,4.00,1.33,-10.63,0.65,2.42,4.00,3.67,4.00,0.33,0.19,3.50,3.96,1.00
1146,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.57,3.25,2.78,0.00
1147,4.00,4.00,4.00,4.00,2.00,-11.67,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.47,0.67,5.50,4.90,0.00
1149,4.00,3.67,4.00,4.00,1.33,5.00,0.37,3.58,4.00,4.00,2.00,0.53,0.36,5.25,4.26,0.00
1151,3.67,2.00,2.63,3.33,1.00,-11.67,0.50,3.25,4.00,2.50,3.25,0.20,0.00,#NULL!,#NULL!,0.00
